count,guest_email,has_rewards,room_type,amenities_fee,checkin_date,checkout_date,room_rate,billing_address,last_four_credit_card
1,dsullivan@example.net,FALSE,BASIC,8.324971455,4-Apr-20,23-Apr-20,146.83,"90469 Karla Knolls Apt. 781
Susanberg, NC 28401",5161
2,steven59@example.org,FALSE,BASIC,,27-Jun-20,16-Aug-20,185.5,"1080 Ashley Creek Apt. 622
West Amy, NM 25058",4133
3,brandon15@example.net,FALSE,BASIC,22.26915767,13-Apr-20,7-Apr-20,151.12,"99923 Anderson Trace Suite 861
North Haley, TX 76565",4977
4,humphreyjennifer@example.net,FALSE,BASIC,25.46864738,22-May-20,8-Jun-20,182.47,"9301 John Parkways
Thomasland, OH 61350",3524
5,joshuabrown@example.net,FALSE,BASIC,19.77831052,14-Nov-19,27-Oct-19,195.5,"126 George Tunnel
Duranstad, MS 95176",4446
6,moondavid@example.com,FALSE,BASIC,,30-Oct-20,17-Nov-20,88.25,"812 Kimberly Forges
East Brianafurt, AR 16834",4265
7,patty61@example.com,FALSE,BASIC,16.67085084,7-Oct-20,30-Aug-20,83.8,"7999 Sheila Forges Apt. 089
West Briannahaven, MD 08696",3027
8,michellehill@example.net,FALSE,SUITE,13.99160495,1-Sep-20,28-Aug-20,204.27,"79445 Brandon Plains Apt. 024
Port Cynthiaport, NE 08276",2285
9,loganosborne@example.org,FALSE,BASIC,18.41000823,9-Sep-20,4-Sep-20,128.38,"522 Davis Street
New Cole, AZ 17369",3541
10,gkey@example.org,FALSE,BASIC,27.61667671,20-Oct-20,22-Nov-20,217.62,"77972 Wendy Lake Apt. 933
Kelseyhaven, WI 35555",6763
11,maykimberly@example.com,TRUE,BASIC,,11-Sep-20,26-Aug-20,265.89,"51118 Michael Spur Apt. 742
Tamarashire, DE 99731",3592
12,josephknight@example.com,FALSE,BASIC,22.79453076,23-Aug-20,17-Aug-20,176.66,"391 Lauren Forest Suite 711
Wardshire, GA 48480",4574
13,nmoses@example.com,FALSE,DELUXE,36.28160067,17-Nov-20,1-Nov-20,161.32,"985 William Unions
Edwardville, TX 01442",4646
14,hamptonemma@example.net,TRUE,BASIC,0,21-Jun-20,29-May-20,114.57,"704 Acosta Stravenue
Hernandezmouth, CO 97599",2264
15,paula75@example.org,FALSE,BASIC,24.97281273,25-Dec-20,,139.33,"67341 Gill Springs Suite 388
Lake Josephshire, UT 92093",3488
16,zmurray@example.com,FALSE,DELUXE,18.78295242,27-Jul-20,13-Sep-20,161.38,"37309 Garza Cove Suite 313
West Kennethport, SD 37417",3435
17,rfletcher@example.net,FALSE,BASIC,27.45763472,8-Jul-20,31-Jul-20,200.69,"83607 Morrison Views
Jenniferbury, DE 23988",6011
18,ruizcameron@example.org,FALSE,BASIC,17.46803644,9-Feb-21,5-Feb-21,137.7,"5744 Petersen Causeway Suite 324
South Vanessa, MN 82285",6530
19,smithsara@example.org,FALSE,SUITE,26.47038423,15-Jun-20,21-Jun-20,273.13,"PSC 9486, Box 4682
APO AA 98819",3531
